handle,period,num_communities,pct
theJagmeetSingh,jan,5,0.88
theJagmeetSingh,feb,3,0.91
theJagmeetSingh,mar,4,0.56
theJagmeetSingh,apr,4,0.69
theJagmeetSingh,may,5,0.56
theJagmeetSingh,jun,6,0.81
theJagmeetSingh,jul,5,0.83
theJagmeetSingh,aug,5,0.68
theJagmeetSingh,sep,5,0.55
theJagmeetSingh,oct,4,0.59
theJagmeetSingh,nov,5,0.92
theJagmeetSingh,dec,4,0.42
theJagmeetSingh,y2020,4,0.46
theJagmeetSingh,_q1,3,0.68
theJagmeetSingh,_q2,5,0.35
theJagmeetSingh,_q3,4,0.91
theJagmeetSingh,_q4,5,0.8
AndrewScheer,jan,5,0.88
AndrewScheer,feb,4,0.52
AndrewScheer,mar,5,0.73
AndrewScheer,apr,4,0.62
AndrewScheer,may,4,0.71
AndrewScheer,jun,4,0.95
AndrewScheer,jul,5,0.76
AndrewScheer,aug,5,0.65
AndrewScheer,sep,7,1
AndrewScheer,nov,6,0.85
AndrewScheer,y2020,3,1
AndrewScheer,_q1,4,0.36
AndrewScheer,_q2,3,1
AndrewScheer,_q3,4,0.66
AndrewScheer,_q4,6,0.77
erinotoole,jan,7,0.4
erinotoole,feb,5,0.66
erinotoole,mar,7,0.58
erinotoole,apr,7,0.66
erinotoole,may,6,0.62
erinotoole,jun,7,0.4
erinotoole,jul,6,0.4
erinotoole,aug,6,0.67
erinotoole,sep,5,0.9
erinotoole,oct,4,0.47
erinotoole,nov,5,0.66
erinotoole,dec,4,0.76
erinotoole,y2020,4,0.61
erinotoole,_q1,5,0.61
erinotoole,_q2,5,0.78
erinotoole,_q3,4,0.58
erinotoole,_q4,3,0.93
jjhorgan,jan,5,0.45
jjhorgan,feb,7,0.62
jjhorgan,mar,3,0.84
jjhorgan,apr,3,0.98
jjhorgan,may,3,1
jjhorgan,jun,5,0.64
jjhorgan,jul,4,0.5
jjhorgan,aug,4,0.69
jjhorgan,sep,4,0.93
jjhorgan,oct,3,0.98
jjhorgan,nov,4,0.97
jjhorgan,dec,4,0.85
jjhorgan,y2020,3,1
jjhorgan,_q1,3,0.81
jjhorgan,_q2,3,1
jjhorgan,_q3,4,0.43
jjhorgan,_q4,4,0.87
fordnation,jan,5,0.81
fordnation,feb,4,0.52
fordnation,mar,4,0.71
fordnation,apr,4,0.91
fordnation,may,4,0.37
fordnation,jun,4,0.86
fordnation,jul,4,0.42
fordnation,aug,5,0.95
fordnation,sep,4,0.77
fordnation,oct,4,0.88
fordnation,nov,4,0.7
fordnation,dec,4,1
fordnation,y2020,3,0.99
fordnation,_q1,4,0.99
fordnation,_q2,2,1
fordnation,_q3,4,0.7
fordnation,_q4,4,0.64
BrianPallister,jan,7,0.85
BrianPallister,feb,5,0.93
BrianPallister,mar,5,0.55
BrianPallister,apr,4,0.84
BrianPallister,may,6,0.74
BrianPallister,jun,6,0.9
BrianPallister,jul,6,0.36
BrianPallister,sep,5,0.82
BrianPallister,oct,5,0.61
BrianPallister,nov,5,0.47
BrianPallister,dec,4,0.43
BrianPallister,y2020,4,0.85
BrianPallister,_q1,4,0.82
BrianPallister,_q2,5,0.73
BrianPallister,_q3,4,0.76
BrianPallister,_q4,4,0.37
premierbhiggs,jan,5,0.79
premierbhiggs,feb,6,0.86
premierbhiggs,mar,5,0.61
premierbhiggs,apr,7,0.4
premierbhiggs,may,5,0.4
premierbhiggs,jun,6,1
premierbhiggs,nov,6,0.6
premierbhiggs,y2020,5,0.41
premierbhiggs,_q1,5,0.8
premierbhiggs,_q2,6,0.62
premierbhiggs,_q4,6,0.48
PremierofNL,jan,5,0.87
PremierofNL,feb,5,0.88
PremierofNL,mar,6,0.59
PremierofNL,apr,4,0.89
PremierofNL,may,3,1
PremierofNL,jun,3,1
PremierofNL,jul,2,0.66
PremierofNL,aug,4,0.44
PremierofNL,sep,5,0.92
PremierofNL,oct,5,0.93
PremierofNL,nov,5,0.76
PremierofNL,dec,5,0.86
PremierofNL,y2020,3,1
PremierofNL,_q1,4,0.9
PremierofNL,_q2,3,1
PremierofNL,_q3,2,0.93
PremierofNL,_q4,5,0.92
StephenMcNeil,jan,6,0.35
StephenMcNeil,feb,4,0.99
StephenMcNeil,mar,6,0.54
StephenMcNeil,apr,3,0.7
StephenMcNeil,may,3,0.77
StephenMcNeil,jun,4,0.41
StephenMcNeil,jul,3,0.95
StephenMcNeil,aug,4,0.7
StephenMcNeil,sep,4,0.68
StephenMcNeil,oct,3,1
StephenMcNeil,nov,4,0.89
StephenMcNeil,dec,4,0.53
StephenMcNeil,y2020,3,0.8
StephenMcNeil,_q1,4,0.98
StephenMcNeil,_q2,3,0.99
StephenMcNeil,_q3,4,0.75
StephenMcNeil,_q4,2,0.44
dennyking,jan,6,0.99
dennyking,feb,9,0.97
dennyking,mar,6,0.43
dennyking,apr,6,0.94
dennyking,may,6,0.97
dennyking,jun,6,0.67
dennyking,aug,6,0.74
dennyking,sep,6,1
dennyking,oct,8,1
dennyking,nov,8,0.97
dennyking,dec,7,0.9
dennyking,y2020,5,0.7
dennyking,_q1,6,0.81
dennyking,_q2,5,0.39
dennyking,_q3,5,0.91
dennyking,_q4,6,0.93
PremierScottMoe,jan,5,0.84
PremierScottMoe,feb,4,0.79
PremierScottMoe,mar,4,0.49
PremierScottMoe,apr,4,1
PremierScottMoe,may,4,0.71
PremierScottMoe,jun,4,1
PremierScottMoe,jul,4,1
PremierScottMoe,aug,4,0.93
PremierScottMoe,sep,4,1
PremierScottMoe,oct,4,0.95
PremierScottMoe,nov,6,0.86
PremierScottMoe,dec,4,0.77
PremierScottMoe,y2020,4,0.78
PremierScottMoe,_q1,4,0.39
PremierScottMoe,_q2,3,1
PremierScottMoe,_q3,4,1
